State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Latitude ,Longitude,Year
CT,website,6372,07/27/2010,Other,Paper/Films,,,2010
SC,website,2850,04/22/2010,poor security,Paper/Films,,,2010
TX,Gaming,4083,05/25/2010,poor security,Paper/Films,,,2010
OH,Retail,1200,07/23/2010,poor security,Paper/Films,,,2010
MO,Gaming,1907,8/9/10,poor security,Paper/Films,,,2010
IL,Gaming,967,09/24/2010,poor security,Paper/Films,,,2010
MA,Retail,11000,10/1/10,poor security,Paper/Films,,,2010
TN,Gaming,8200,11/30/2010,poor security,Paper/Films,,,2010
OH,Gaming,1000,12/21/2010,poor security,Paper/Films,,,2010
SC,Gaming,2717,4/12/11,poor security,Paper/Films,,,2011
VA,Gaming,700,07/22/2011,poor security,Paper/Films,,,2011
IL,Retail,2000,12/9/11,poor security,Paper/Films,,,2011
IN,Gaming,1000,4/12/12,poor security,Paper/Films,,,2012
TX,Gaming,1000,04/16/2012,poor security,Paper/Films,,,2012
AL,Gaming,1655,5/4/12,poor security,Paper/Films,,,2012
IA,website,3000,5/11/12,poor security,Paper/Films,,,2012
GA,Retail,13074,10/8/12,poor security,Paper/Films,,,2012
OH,Gaming,500,10/29/2012,poor security,Paper/Films,,,2012
NC,Gaming,1100,11/29/2012,poor security,Paper/Films,,,2012
NV,Gaming,1483,1/8/13,poor security,Paper/Films,,,2013
LA,Retail,16988,01/31/2013,poor security,Paper/Films,,,2013
TX,Retail,189489,5/7/13,poor security,Paper/Films,,,2013
WA,Gaming,750,5/7/13,poor security,Paper/Films,,,2013
NY,Gaming,1586,10/4/13,poor security,Paper/Films,,,2013
CO,Gaming,606,10/14/2013,poor security,Paper/Films,,,2013
FL,Retail,603,10/29/2013,poor security,Paper/Films,,,2013
CA,Gaming,3534,3/4/14,poor security,Paper/Films,,,2014
MO,Gaming,1376,08/26/2014,poor security,Paper/Films,,,2014
MN,Gaming,1778,11/25/2014,poor security,Paper/Films,,,2014
MS,Gaming,19000,2/4/15,poor security,Paper/Films,,,2015
OH,Gaming,5000,2/5/15,poor security,Paper/Films,,,2015
TX,Gaming,1430,04/28/2010,poor security,Paper/Films,,,2010
AZ,Gaming,2000,6/9/11,poor security,Paper/Films,,,2011
OK,Gaming,1950,11/29/2010,poor security,Paper/Films,,,2010
CA,Retail,49714,08/15/2014,poor security,Paper/Films,,,2014
NC,Gaming,17300,04/30/2013,poor security,Paper/Films,,,2013
