State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Latitude ,Longitude,Year
CT,Health Plan,6372,07/27/2010,Other,Paper/Films,,,2010
SC,Health Plan,2850,04/22/2010,Improper Disposal,Paper/Films,,,2010
TX,Healthcare Provider,4083,05/25/2010,Improper Disposal,Paper/Films,,,2010
OH,Business Associate,1200,07/23/2010,Improper Disposal,Paper/Films,,,2010
MO,Healthcare Provider,1907,08/09/2010,Improper Disposal,Paper/Films,,,2010
IL,Healthcare Provider,967,09/24/2010,Improper Disposal,Paper/Films,,,2010
MA,Business Associate,11000,10/01/2010,Improper Disposal,Paper/Films,,,2010
TN,Healthcare Provider,8200,11/30/2010,Improper Disposal,Paper/Films,,,2010
OH,Healthcare Provider,1000,12/21/2010,Improper Disposal,Paper/Films,,,2010
SC,Healthcare Provider,2717,04/12/2011,Improper Disposal,Paper/Films,,,2011
VA,Healthcare Provider,700,07/22/2011,Improper Disposal,Paper/Films,,,2011
IL,Business Associate,2000,12/09/2011,Improper Disposal,Paper/Films,,,2011
IN,Healthcare Provider,1000,04/12/2012,Improper Disposal,Paper/Films,,,2012
TX,Healthcare Provider,1000,04/16/2012,Improper Disposal,Paper/Films,,,2012
AL,Healthcare Provider,1655,05/04/2012,Improper Disposal,Paper/Films,,,2012
IA,Health Plan,3000,05/11/2012,Improper Disposal,Paper/Films,,,2012
GA,Business Associate,13074,10/08/2012,Improper Disposal,Paper/Films,,,2012
OH,Healthcare Provider,500,10/29/2012,Improper Disposal,Paper/Films,,,2012
NC,Healthcare Provider,1100,11/29/2012,Improper Disposal,Paper/Films,,,2012
NV,Healthcare Provider,1483,01/08/2013,Improper Disposal,Paper/Films,,,2013
LA,Business Associate,16988,01/31/2013,Improper Disposal,Paper/Films,,,2013
TX,Business Associate,189489,05/07/2013,Improper Disposal,Paper/Films,,,2013
WA,Healthcare Provider,750,05/07/2013,Improper Disposal,Paper/Films,,,2013
NY,Healthcare Provider,1586,10/04/2013,Improper Disposal,Paper/Films,,,2013
CO,Healthcare Provider,606,10/14/2013,Improper Disposal,Paper/Films,,,2013
FL,Business Associate,603,10/29/2013,Improper Disposal,Paper/Films,,,2013
CA,Healthcare Provider,3534,03/04/2014,Improper Disposal,Paper/Films,,,2014
MO,Healthcare Provider,1376,08/26/2014,Improper Disposal,Paper/Films,,,2014
MN,Healthcare Provider,1778,11/25/2014,Improper Disposal,Paper/Films,,,2014
MS,Healthcare Provider,19000,02/04/2015,Improper Disposal,Paper/Films,,,2015
OH,Healthcare Provider,5000,02/05/2015,Improper Disposal,Paper/Films,,,2015
TX,Healthcare Provider,1430,04/28/2010,Improper Disposal,Paper/Films,,,2010
AZ,Healthcare Provider,2000,06/09/2011,Improper Disposal,Paper/Films,,,2011
OK,Healthcare Provider,1950,11/29/2010,Improper Disposal,Paper/Films,,,2010
CA,Business Associate,49714,08/15/2014,Improper Disposal,Paper/Films,,,2014
NC,Healthcare Provider,17300,04/30/2013,Improper Disposal,Paper/Films,,,2013
KY,Healthcare Provider,727,10/22/2014,Improper Disposal,Paper/Films,,,2014
IL,Healthcare Provider,6800,04/05/2010,Loss,Paper/Films,,,2010
,Business Associate,716,11/02/2010,Loss,Paper/Films,,,2010
MN,Healthcare Provider,1215,04/14/2011,Loss,Paper/Films,,,2011
CA,Business Associate,1192,06/10/2011,Loss,Paper/Films,,,2011
IL,Healthcare Provider,518,09/23/2011,Loss,Paper/Films,,,2011
MA,Healthcare Provider,6831,04/06/2012,Loss,Paper/Films,,,2012
TN,Health Plan,1102,05/31/2012,Loss,Paper/Films,,,2012
CO,Healthcare Provider,6262,11/07/2012,Loss,Paper/Films,,,2012
CA,Business Associate,14829,04/29/2013,Loss,Paper/Films,,,2013
CA,Business Associate,4718,07/10/2013,Loss,Paper/Films,,,2013
CA,Business Associate,1674,12/20/2013,Loss,Paper/Films,,,2013
FL,Healthcare Provider,13074,02/12/2014,Loss,Paper/Films,,,2014
KS,Healthcare Provider,979,04/09/2014,Loss,Paper/Films,,,2014
CT,Business Associate,527,04/09/2014,Loss,Paper/Films,,,2014
OH,Healthcare Provider,617,04/18/2014,Loss,Paper/Films,,,2014
