State,IA,name
AK,8500,Alaska
AL,1072221,Alabama
AR,19383,Arizona
AZ,224183,Arkansas
CA,2440103,California
CO,174389,Colorado
CT,210293,Connecticut
DE,1883,Delaware
FL,2961180,Florida
GA,1482831,Georgia
HI,674,Hawaii
IA,35584,Iowa
ID,14962,Idaho
IL,4623398,Illinois
IN,79737452,Indiana
KS,36188,Kansas
KY,107780,Kentucky
LA,73430,Louisiana
MA,190733,Massachussetts
MD,1451667,Maryland
ME,1920,Maine
MI,175371,Michigan
MN,143028,Minnesota
MO,105333,Missouri
MS,27640,Mississippi
MT,1112398,Montana
NC,298838,North Carolina
ND,12650,North Dakota
NE,11943,Nevada
NH,239339,New Hampshire
NJ,3036944,New Jersey
NM,34804,New Mexico
NV,87868,Nevada
NY,2911102,New York
OH,226156,Ohio
OK,253348,Oklahoma
OR,237689,Oregon
PA,1306884,Pennsylvania
RI,31613,Rhode Island
SC,300935,South carolina
SD,9120,South Dakota
TN,6126233,Tennessee
TX,3593915,Texas 
UT,835276,Utah
VA,5845843,Virginia
VT,550,Vermont
WA,11165956,Washington
WI,115831,Wisconsin
WV,21543,west virginia
WY,37565,Wyoming
